19-09-2017 02:24:15 | OVH Server list | IP: 213.251.182.111 ] | DNS: gw-cluster011.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/5.0.375.99 Safari/533.4 | URL: / | Referer: sedesoft.com
26-09-2017 10:27:43 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 10:28:48 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 10:28:55 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 11:12:37 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 11:12:42 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 11:12:42 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /images/icon.jpg | Referer: https://sedesoft.com/

26-09-2017 11:13:02 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 11:13:08 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 11:14:16 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 11:14:20 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 11:14:25 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 11:14:29 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 11:15:38 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

26-09-2017 11:15:43 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

26-09-2017 11:15:57 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

